,vib_max,vib_min,vib_cur,accumulativeprofit,mins_mean_30,mins_ratio,cur_price,beginyear
SH600634,0.277777777778,0.0,0.0372616984402,2.2806033632,3.69566666667,3.1225759899,11.54,2000
SZ300681,0.2,0.0,0.0392276422764,2.02822250493,42.0703333333,1.2122556671,51.0,2017
SZ002769,0.20180134251,0.0,0.0648148148148,2.29205091338,13.8563333333,1.37410089249,19.04,2015
SH601700,0.202043132804,0.0,0.0182119205298,1.159338157,5.85866666667,1.03265817023,6.05,2011
SH600728,0.248334919125,0.0,0.0805043646945,3.89764876168,2.31633333333,4.59778385379,10.65,2000
SZ002077,0.221897810219,0.0,0.0317316409791,1.47101591445,4.25766666667,2.60236436233,11.08,2006
SZ002208,0.260416666667,0.0,0.119077306733,2.04903814079,5.073,3.39049871871,17.2,2008
SH600207,0.223776223776,0.0,0.0762430939227,0.836532645366,2.47733333333,3.79843918192,9.41,2000
SH600238,0.213756613757,0.0,0.0323943661972,2.30611847251,2.90833333333,2.48252148997,7.22,2000
SZ002883,0.2,0.0,0.0681586978637,2.32149094702,39.1896666667,1.31539776642,51.55,2017
SH603058,0.199649737303,0.0,0.0784077201448,2.64940620526,11.977,1.49286131753,17.88,2016
SZ300462,0.20152640264,0.0,0.047619047619,2.59099262647,20.1116666667,1.33454876937,26.84,2015
SZ002916,0.199913644214,0.0,0.0579049198452,2.70403726616,59.83,1.25605883336,75.15,2017
SZ300413,0.222288975668,0.0,0.083848427842,3.07977697437,19.8226666667,2.01284724558,39.9,2015
SZ002907,0.189396261109,0.0,0.0343673965937,5.1872002951,14.6376666667,2.30979436613,33.81,2017
SZ002928,0.199838514332,0.0,0.0529715762274,1.35931857222,40.7283333333,0.991938453984,40.4,2018
SZ002903,0.199478487614,0.0,0.0851516764236,2.20381592872,31.602,1.28314663629,40.55,2017
SZ300344,0.222222222222,0.0,0.0708812260536,2.36117590269,7.19133333333,1.53518123667,11.04,2012
SZ300277,0.222222222222,0.0,0.0704091341579,1.87988521535,7.48966666667,1.47136054119,11.02,2011
SZ002863,0.199088145897,0.0,0.0540059347181,2.18346317875,12.42,1.38808373591,17.24,2017
SZ300644,0.203243526027,0.0,0.0260907695681,1.77748151137,45.1944,1.02114421256,46.15,2018
SH603083,0.199889258029,0.0,0.0494691664784,2.11684595901,36.0993333333,1.27093759811,45.88,2017
SZ300688,0.2,0.0,0.0798079807981,4.66452759843,34.898,2.06258238294,71.98,2017
SH600901,0.2,0.0,0.0438432835821,1.22885341944,11.1915384615,0.988246614888,11.06,2018
SZ300650,0.11223814774,0.0,0.0866050808314,2.29721507703,30.4926666667,1.49970484707,45.73,2017
SZ002923,0.137078651685,0.0,0.0825777995589,1.73511509937,35.1046666667,1.21066524868,42.5,2018
SH600579,0.216315307058,0.0,0.0318181818182,1.40183466806,1.85866666667,6.03120516499,11.21,2002
SZ002922,0.141869651086,0.0,0.141869651086,1.7903106816,23.696,1.35001688049,31.99,2017
SZ002908,0.221077421254,0.0,0.0764970578055,2.84215675467,22.7106666667,1.36631832325,31.03,2017
SZ300353,0.179898648649,0.0,0.0653594771242,5.72477083506,11.6446666667,1.52344420908,17.74,2012
SH603960,0.134994421718,0.0,0.0374639769452,2.7236328435,24.1033333333,1.18614299544,28.59,2017
SZ300675,0.200455580866,0.0,0.068477318694,7.16195281971,17.039,2.13862315864,36.44,2017
SZ300107,0.220486111111,0.00806451612903,0.0404411764706,1.14314968982,5.19566666667,1.61095784949,8.37,2010
SZ300731,0.200125865324,0.0,0.0826210826211,1.87825171981,26.837,1.33472444759,35.82,2017
SZ002864,0.199335548173,0.0,0.0524944154877,1.93618022947,24.187,1.15599288874,27.96,2017
SZ300163,0.282229965157,0.0,0.0272373540856,1.17655465126,4.897,1.06187461711,5.2,2011
SZ002925,0.2,0.0,0.0905336721728,3.17901086923,72.4513333333,1.42150593042,102.99,2018
SH603937,0.205925925926,0.0,0.0765306122449,1.48815832852,19.1913333333,1.07131691388,20.56,2017
SH600845,0.220819112628,0.0,0.0595918367347,15.2201275563,8.93566666667,2.87499533704,25.69,2000
SH600577,0.221482889734,0.0,0.0717391304348,4.62554672273,3.11433333333,1.57015947768,4.89,2002
SZ300727,0.1998001998,0.0,0.113808801214,2.90250790685,25.202,1.38322355369,34.86,2017
SZ300666,0.199281867145,0.0,0.0814719588623,8.88151157133,20.454,3.19350738242,65.32,2017
SZ300645,0.129144851658,0.0,0.0601525821596,2.01940086054,29.3006666667,1.21703715501,35.66,2017
SH603722,0.200148257969,0.0,0.0473313192346,1.91302090427,28.11,1.10209889719,30.98,2017
SH600872,0.287769784173,0.0,0.0325203252033,9.13404834796,2.373,10.6616097767,25.3,2000
SH603900,0.133373325335,0.0,0.0185873605948,1.90011755467,24.326,1.11937844282,27.23,2016
SH603616,0.222357229648,0.0,0.04792147806,2.27532078615,12.8313333333,1.39736062763,17.93,2015
SZ002915,0.199481865285,0.0,0.102781844802,3.99700801422,25.6996666667,1.44009649931,37.01,2017
SZ000037,0.223622047244,0.0,0.0499286733238,1.41741144818,2.89033333333,2.47376311844,7.15,2000
SZ000505,0.222142857143,0.0,0.0482673267327,0.949237142976,1.20266666667,6.76829268293,8.14,2000
SZ002917,0.199713672155,0.0,0.0576208178439,1.68881302845,24.3473333333,1.16275567482,28.31,2017
SZ002402,0.222410865874,0.0,0.0277777777778,2.27660702121,8.923,1.06354365124,9.49,2010
SH603059,0.0835312747427,0.0,0.0807692307692,1.42831006259,46.9508333333,1.05450737474,49.51,2018
SH600810,0.222222222222,0.0,0.0552083333333,1.68801812775,3.37733333333,2.85136202132,9.63,2000
SZ300639,0.199818758496,0.0,0.025755228505,1.9701793203,36.6463333333,1.42388051556,52.18,2017
SH603683,0.157830837718,0.0,0.0655737704918,1.52941486551,18.471,1.11363759407,20.57,2017
SH600293,0.22303030303,0.0,0.0201884253028,1.0642775538,2.32266666667,3.25918484501,7.57,2000
SZ300717,0.200117027501,0.0,0.0601208459215,1.70734550538,29.4306666667,1.18957549948,35.01,2017
SH600172,0.222352252779,0.0,0.0402298850575,3.90011923353,3.31466666667,2.66090104586,8.82,2000
SH603080,0.199754901961,0.0,0.0364053788127,1.59180117115,30.2436666667,1.03062900222,31.17,2018
SZ002878,0.199654775604,0.0,0.0454106280193,2.12737232943,30.6046666667,1.40501448581,43.0,2017
SZ300740,0.199764521193,0.0,0.0581583198708,1.65056606915,45.0134782609,1.12121973129,50.47,2018
SZ002867,0.2,0.0,0.0362448009507,1.20574699079,26.695,1.27477055628,34.03,2017
SH603283,0.155764248705,0.0,0.0357271743053,2.87592120484,21.8583333333,1.30751048418,28.58,2017
SZ300420,0.20060483871,0.0,0.0309677419355,3.11431818768,6.549,1.20781798748,7.91,2015
SZ002913,0.199945145365,0.0,0.0658970658971,0.994033833806,38.0766666667,1.14243193557,43.5,2017
SZ002430,0.221198156682,0.00778816199377,0.0516467065868,1.18749115245,6.37566666667,2.15820567784,13.76,2010
SZ300725,0.20029455081,0.0,0.0602040816327,6.23240196887,57.6393333333,1.76268520339,101.6,2017
SZ002861,0.2,0.0,0.0568736915562,1.2281088429,23.5753333333,1.27506150496,30.06,2017
SH603466,0.200301962758,0.0,0.0322100167567,2.30277474123,45.9436666667,1.19537694713,54.92,2017
SZ002909,0.162544169611,0.0,0.0492690850027,1.78135274187,17.1563333333,1.11737162175,19.17,2017
SZ300257,0.221896383187,0.0,0.0274828232355,1.29373063392,13.841,1.17332562676,16.24,2011
SH601012,0.222429906542,0.0,0.0252769099688,9.84778206504,6.33733333333,5.57490006312,35.33,2012
SZ002893,0.200584225901,0.0,0.039950062422,1.8229934999,22.7246666667,1.08692463402,24.7,2017
SH600216,0.204210526316,0.0,0.027027027027,8.84095169594,3.02666666667,5.3127753304,16.08,2000
SZ300733,0.200258397933,0.0,0.118833118833,1.40373077274,23.3563333333,1.11661362371,26.08,2018
SZ300686,0.199645075421,0.0,0.045,1.54127926114,18.5803333333,1.11892502826,20.79,2017
SH600521,0.222165474974,0.0,0.0557894736842,17.2955829178,9.05833333333,3.29972401104,29.89,2003
SZ300735,0.200166805671,0.0,0.108515815085,1.58318210658,19.8046666667,1.15023395159,22.78,2017
SH603016,0.139455782313,0.0,0.0344827586207,1.69375246035,19.5566666667,1.09425600818,21.4,2016
SZ002068,0.223602484472,0.0,0.0158061116965,3.6318090045,3.96566666667,2.40060519459,9.52,2006
SZ002848,0.222222222222,0.0,0.0679271708683,1.66036100877,13.0823333333,1.15652151757,15.13,2017
SZ000989,0.222541966427,0.0,0.0260071392147,2.26078135253,4.219,4.66935292723,19.7,2000
SZ002756,0.203962703963,0.0,0.0152972027972,1.29950545131,22.6233333333,1.01488139089,22.96,2015
SZ300729,0.116666666667,0.0,0.0733333333333,1.23622619927,26.565,1.07622811971,28.59,2017
SZ300712,0.200282087447,0.0,0.0443469785575,1.24869071057,20.2013333333,1.05191076497,21.25,2017
SH603258,0.130434782609,0.0,0.0866666666667,1.34274476538,25.5773333333,1.17017671897,29.93,2016
SZ300739,0.148021828104,0.0,0.0422110552764,1.26830849473,40.1175,1.0150183835,40.72,2018
SZ000525,0.242603550296,0.0,0.0263620386643,4.16088837528,2.98233333333,7.67184531128,22.88,2000
SH603559,0.208909646129,0.0,0.0504201680672,3.21189457124,20.6703333333,1.69615068294,35.06,2016
SZ300638,0.200159489633,0.0,0.0301724137931,2.41350806472,27.3873333333,1.3769139018,37.71,2017
SH600612,0.2224797219,0.0,0.0141776937618,8.85477454434,4.79133333333,8.91192430778,42.7,2000
SZ300720,0.200141944642,0.0,0.0507273405446,1.64570515564,25.2403333333,1.10260033544,27.83,2017
SZ300009,0.753513513514,0.0,0.0478087649402,4.72497296992,9.76933333333,2.67571993995,26.14,2009
SZ002440,0.198258196721,0.007747318236,0.0260089686099,2.06357490851,11.256,2.00781805259,22.6,2010
SZ300700,0.200158856235,0.0,0.0256570713392,3.92969975518,45.1923333333,1.44493535039,65.3,2017
SZ300664,0.199812382739,0.0,0.100598151169,1.58263171463,18.3036666667,1.10578936825,20.24,2018
SZ300597,0.198795180723,0.0,0.0426829268293,2.15397270876,13.4963333333,1.25515572131,16.94,2017
SH603819,0.140534521158,0.0,0.0225613802256,1.22368385291,14.564,1.05190881626,15.32,2016
SH603912,0.199614271938,0.0,0.0930863081789,1.94434965003,20.8343333333,1.16106426892,24.19,2017
SZ002910,0.2,0.0,0.0858294930876,1.72940814126,16.7103333333,1.11128842433,18.57,2017
SZ002911,0.199641362821,0.0,0.0193861066236,1.24782325611,23.423,1.06903470947,25.04,2017
SZ002446,0.202665186008,0.0,0.0287425149701,1.95317258944,7.62033333333,1.10231398452,8.4,2010
SZ000856,0.221845893311,0.0,0.0383838383838,2.35738184686,1.53733333333,13.1916738942,20.28,2000
SH603477,0.2,0.0,0.0809889173061,1.53466031137,11.9256666667,1.03474299131,12.34,2017
